Elevation,Storage,Area
620,0,0
621,0.02,0.045
622,0.09,0.09
623,0.44,0.6
624,1.29,1.11
625,2.78,1.875
626,5.04,2.64
627,8.58,4.435
628,13.91,6.23
629,21.2,8.35
630,30.61,10.47
631,43.11,14.525
632,59.66,18.58
633,81.04,24.17
634,108,29.76
635,140.27,34.78
636,177.56,39.8
637,219.73,44.54
638,266.64,49.28
639,318,53.445
640,373.53,57.61
641,434.86,65.05
642,503.63,72.49
643,581.09,82.425
644,668.48,92.36
645,765.38,101.435
646,871.35,110.51
647,986.02,118.825
648,1109,127.14
649,1239.8,134.465
650,1377.93,141.79
651,1522.76,147.865
652,111673.66,153.94
653,1830.45,159.645
654,1992.95,165.35
655,2161.25,171.24
656,2335.43,177.13
657,2515.6,183.215
658,2701.86,189.3
659,2894.22,195.45
660,3092.69,201.53
661,3297.25,207.595
662,3507.88,213.66
663,3724.61,219.79
664,3947.46,225.92
665,4176.49,232.14
666,4411.74,238.36
667,4653.41,244.985
668,4901.71,251.61
669,5156.93,258.82
670,5419.35,266.03
671,5689.38,274.03
672,5967.41,282.03
673,6253.88,290.91
674,6549.23,299.79
675,6853.88,309.27
676,7167.77,318.75
677,7491.7,329.1
678,7825.97,339.45
679,8170.17,348.94
680,8523.85,358.43
681,8887.07,368.01
682,9259.87,377.59
683,9642.12,386.915
684,10033.7,396.24
685,10434.53,405.415
686,10844.53,414.59
687,11264.51,425.365
688,11695.26,436.14
689,12136.29,445.92
690,12587.1,455.7
691,13047.28,464.65
692,13516.4,473.6
693,13994.66,482.91
694,14482.22,492.22
695,14979.46,502.25
696,15486.72,512.28
697,16004.45,523.175
698,16533.07,534.07
699,17072.31,544.41
700,17621.89,554.75
701,18182.33,566.12
702,18754.13,577.49
