"Stage Elevation
 (ft MSL)","Reservoir Volume 
(MG)",Cumulative Percentage of Volume,"Stage Elevation 
(ft MSL)",Surface Area (sq ft),Surface Area (acres),"Storage 
(acre-ft)"
620,0.00,0.00%,620.00,0,0.000,0.00
621,0.01,0.00%,621.00,1960,0.045,0.02
622,0.03,0.00%,622.00,3920,0.090,0.09
623,0.14,0.00%,623.00,26136,0.600,0.44
624,0.42,0.01%,624.00,48352,1.110,1.29
625,0.91,0.02%,625.00,81675,1.875,2.78
626,1.64,0.03%,626.00,114998,2.640,5.04
627,2.80,0.06%,627.00,193189,4.435,8.58
628,4.53,0.09%,628.00,271379,6.230,13.91
629,6.91,0.14%,629.00,363726,8.350,21.20
630,9.97,0.20%,630.00,456073,10.470,30.61
631,14.05,0.29%,631.00,632709,14.525,43.11
632,19.44,0.40%,632.00,809345,18.580,59.66
633,26.41,0.54%,633.00,1052845,24.170,81.04
634,35.19,0.72%,634.00,1296346,29.760,108.00
635,45.71,0.94%,635.00,1515017,34.780,140.27
636,57.86,1.19%,636.00,1733688,39.800,177.56
637,71.60,1.47%,637.00,1940162,44.540,219.73
638,86.89,1.78%,638.00,2146637,49.280,266.64
639,103.62,2.12%,639.00,2328064,53.445,318.00
640,121.72,2.49%,640.00,2509492,57.610,373.53
641,141.70,2.90%,641.00,2833578,65.050,434.86
642,164.11,3.36%,642.00,3157664,72.490,503.63
643,189.35,3.88%,643.00,3590433,82.425,581.09
644,217.83,4.46%,644.00,4023202,92.360,668.48
645,249.40,5.11%,645.00,4418509,101.435,765.38
646,283.93,5.82%,646.00,4813816,110.510,871.35
647,321.30,6.58%,647.00,5176017,118.825,986.02
648,361.37,7.40%,648.00,5538218,127.140,1109.00
649,403.99,8.28%,649.00,5857295,134.465,1239.80
650,449.00,9.20%,650.00,6176372,141.790,1377.93
651,496.20,10.17%,651.00,6440999,147.865,1522.76
652,545.37,11.17%,652.00,6705626,153.940,1673.66
653,596.46,12.22%,653.00,6954136,159.645,1830.45
654,649.41,13.30%,654.00,7202646,165.350,1992.95
655,704.25,14.43%,655.00,7459214,171.240,2161.25
656,761.01,15.59%,656.00,7715783,177.130,2335.43
657,819.72,16.79%,657.00,7980845,183.215,2515.60
658,880.41,18.04%,658.00,8245908,189.300,2701.86
659,943.09,19.32%,659.00,8512277,195.415,2894.22
660,1007.76,20.65%,660.00,8778647,201.530,3092.69
661,1074.42,22.01%,661.00,9042838,207.595,3297.25
662,1143.05,23.42%,662.00,9307030,213.660,3507.88
663,1213.67,24.86%,663.00,9574052,219.790,3724.61
664,1286.29,26.35%,664.00,9841075,225.920,3947.46
665,1360.92,27.88%,665.00,10112018,232.140,4176.49
666,1437.58,29.45%,666.00,10382962,238.360,4411.74
667,1516.33,31.07%,667.00,10671547,244.985,4653.41
668,1597.24,32.72%,668.00,10960132,251.610,4901.71
669,1680.40,34.43%,669.00,11274199,258.820,5156.93
670,1765.91,36.18%,670.00,11588267,266.030,5419.35
671,1853.90,37.98%,671.00,11936747,274.030,5689.38
672,1944.50,39.84%,672.00,12285227,282.030,5967.41
673,2037.85,41.75%,673.00,12672040,290.910,6253.88
674,2134.09,43.72%,674.00,13058852,299.790,6549.23
675,2233.32,45.75%,675.00,13471801,309.270,6853.76
676,2335.64,47.85%,676.00,13884750,318.750,7167.77
677,2441.19,50.01%,677.00,14335596,329.100,7491.70
678,2550.12,52.24%,678.00,14786442,339.450,7825.97
679,2662.27,54.54%,679.00,15199826,348.940,8170.17
680,2777.52,56.90%,680.00,15613211,358.430,8523.85
681,2895.88,59.33%,681.00,16030516,368.010,8887.07
682,3017.36,61.82%,682.00,16447820,377.590,9259.87
683,3141.92,64.37%,683.00,16854017,386.915,9642.12
684,3269.51,66.98%,684.00,17260214,396.240,10033.70
685,3400.12,69.66%,685.00,17659877,405.415,10434.53
686,3533.72,72.40%,686.00,18059540,414.590,10844.53
687,3670.58,75.20%,687.00,18528899,425.365,11264.51
688,3810.94,78.08%,688.00,18998258,436.140,11695.26
689,3954.65,81.02%,689.00,19424275,445.920,12136.29
690,4101.55,84.03%,690.00,19850292,455.700,12587.10
691,4251.50,87.10%,691.00,20240154,464.650,13047.28
692,4404.36,90.23%,692.00,20630016,473.600,13516.40
693,4560.20,93.43%,693.00,21035560,482.910,13994.66
694,4719.08,96.68%,694.00,21441103,492.220,14482.22
695,4881.10,100.00%,695.00,21878010,502.250,14979.46
696,5046.40,103.39%,696.00,22314917,512.280,15486.72
697,5215.10,106.84%,697.00,22789503,523.175,16004.45
698,5387.35,110.37%,698.00,23264089,534.070,16533.07
699,5563.07,113.97%,699.00,23714500,544.410,17072.31
700,5742.15,117.64%,700.00,24164910,554.750,17621.89
701,5924.77,121.38%,701.00,24660187,566.120,18182.33
702,6111.09,125.20%,702.00,25155464,577.490,18754.13
