          	     evap	     stor	     elev	    totIn
          	     3470	     3470	     3470	     3470
     DATE 	       AF	       AF	       AF	       AF

01/01/1939	     1.21	  7552.05	   350.39	     2.96
01/02/1939	     1.24	  7552.05	   350.39	     5.24
01/03/1939	     1.39	  7552.05	   350.39	     5.39
01/04/1939	     1.12	  7552.05	   350.39	     5.12
01/05/1939	   -11.97	  7552.05	   350.39	     3.34
01/06/1939	     1.23	  7552.05	   350.39	     8.00
01/07/1939	     1.08	  7552.05	   350.39	     5.08
01/08/1939	     1.05	  7552.05	   350.39	     5.05
01/09/1939	     1.00	  7552.05	   350.39	     5.00
01/10/1939	     0.22	  7552.05	   350.39	     4.22
01/11/1939	     0.79	  7552.05	   350.39	     4.79
01/12/1939	    -7.64	  7552.05	   350.39	     3.19
01/13/1939	    -9.64	  7552.05	   350.39	     9.65
01/14/1939	    -4.33	  7552.05	   350.39	    16.13
01/15/1939	     0.98	  7552.05	   350.39	     9.66
01/16/1939	    -0.74	  7552.05	   350.39	     5.99
01/17/1939	     0.90	  7552.05	   350.39	     5.25
01/18/1939	    -7.86	  7552.05	   350.39	     5.11
01/19/1939	     0.95	  7552.05	   350.39	     6.25
01/20/1939	     0.90	  7552.05	   350.39	     4.90
01/21/1939	     1.01	  7552.05	   350.39	     5.01
01/22/1939	     1.04	  7552.05	   350.39	     5.04
01/23/1939	     0.84	  7552.05	   350.39	     4.84
01/24/1939	    -8.17	  7552.05	   350.39	     3.46
01/25/1939	    -0.05	  7552.05	   350.39	     4.78
01/26/1939	     1.07	  7552.05	   350.39	     5.07
01/27/1939	     0.99	  7552.05	   350.39	     4.99
01/28/1939	     0.68	  7552.05	   350.39	     4.68
01/29/1939	   -14.30	  7552.05	   350.39	     3.11
01/30/1939	     0.66	  7552.05	   350.39	    10.03
01/31/1939	     1.06	  7552.05	   350.39	    12.39
02/01/1939	     1.27	  7552.05	   350.39	    10.06
02/02/1939	     1.50	  7552.05	   350.39	     8.14
02/03/1939	   -13.56	  7552.05	   350.39	    17.19
02/04/1939	   -13.72	  7552.05	   350.39	    30.31
02/05/1939	     1.21	  7552.05	   350.39	    47.81
02/06/1939	    -1.02	  7552.05	   350.39	    23.91
02/07/1939	    -7.80	  7552.05	   350.39	    29.53
02/08/1939	     1.16	  7552.05	   350.39	    21.72
02/09/1939	    -9.55	  7552.05	   350.39	    25.62
02/10/1939	    -1.22	  7552.05	   350.39	    36.25
02/11/1939	    -1.32	  7552.05	   350.39	    26.56
02/12/1939	     0.94	  7552.05	   350.39	    17.50
02/13/1939	     0.83	  7552.05	   350.39	    10.69
02/14/1939	    -9.40	  7552.05	   350.39	     9.69
02/15/1939	   -13.00	  7552.05	   350.39	    15.94
02/16/1939	     0.99	  7552.05	   350.39	    22.50
02/17/1939	     1.83	  7552.05	   350.39	    12.59
02/18/1939	     1.65	  7552.05	   350.39	     9.75
02/19/1939	     1.61	  7552.05	   350.39	     8.84
02/20/1939	    -4.76	  7552.05	   350.39	    10.87
02/21/1939	    -5.35	  7552.05	   350.39	    21.56
02/22/1939	     1.93	  7552.05	   350.39	    25.47
02/23/1939	     1.91	  7552.05	   350.39	    15.62
02/24/1939	     1.80	  7552.05	   350.39	    11.72
02/25/1939	     1.57	  7552.05	   350.39	    10.16
02/26/1939	    -9.90	  7552.05	   350.39	    23.44
02/27/1939	     1.98	  7552.05	   350.39	    20.31
02/28/1939	   -18.94	  7552.05	   350.39	    31.25
03/01/1939	     0.15	  7552.05	   350.39	    88.22
03/02/1939	    -8.46	  7552.05	   350.39	    98.53
03/03/1939	     1.81	  7552.05	   350.39	    71.32
03/04/1939	     2.47	  7552.05	   350.39	    43.82
03/05/1939	     1.33	  7552.05	   350.39	    27.90
03/06/1939	    -2.34	  7552.05	   350.39	    24.83
03/07/1939	     0.09	  7552.05	   350.39	    24.12
03/08/1939	     1.57	  7552.05	   350.39	    20.11
03/09/1939	     2.06	  7552.05	   350.39	    18.33
03/10/1939	     2.07	  7552.05	   350.39	    18.96
03/11/1939	    -8.92	  7552.05	   350.39	    30.93
03/12/1939	     2.28	  7552.05	   350.39	    26.69
03/13/1939	    -6.14	  7552.05	   350.39	    33.80
03/14/1939	     2.11	  7552.05	   350.39	    25.20
03/15/1939	     2.45	  7552.05	   350.39	    19.53
03/16/1939	     2.59	  7552.05	   350.39	    17.99
03/17/1939	     2.25	  7552.05	   350.39	    16.33
03/18/1939	     2.49	  7552.05	   350.39	    15.29
03/19/1939	     2.19	  7552.05	   350.39	    14.49
03/20/1939	     2.11	  7552.05	   350.39	    14.09
03/21/1939	     2.75	  7552.05	   350.39	    13.46
03/22/1939	     1.89	  7552.05	   350.39	    13.35
03/23/1939	     1.69	  7552.05	   350.39	    12.83
03/24/1939	     2.39	  7552.05	   350.39	    12.37
03/25/1939	     2.59	  7552.05	   350.39	    12.20
03/26/1939	     1.33	  7552.05	   350.39	    12.34
03/27/1939	    -4.36	  7552.05	   350.39	    14.61
03/28/1939	     1.45	  7552.05	   350.39	    16.30
03/29/1939	     1.69	  7552.05	   350.39	    12.86
03/30/1939	   -14.93	  7552.05	   350.39	    27.04
